0.9099994, 0, 0, 43.77134, 11.74461, 0, 910.9586, -1360.343, -5.408932, 0.0268742, 0.1849792, 39.13888, 3.10966, 2.44529, 125.1144
1.309999, -0.2176635, -0.08233918, 65.62772, 12.20986, 0.7219766307477774774752, 2427.684, -1391.053, -5.408932, 0.0268742, 0.1849792, 63.94745, 3.10966, 2.408067, 127.0016
 
1.319999, -0.2161196, -0.08451582, 66.19061, 12.22096, 0.7072134823306560413280, 2475.421, -1391.842, -5.408932, 0.0268742, 0.1849792, 64.57481, 3.10966, 2.407137, 127.0487
 
1.329999, -0.2143996, -0.08667701, 66.75562, 12.23336, 0.6924390704873127343872, 2523.643, -1392.632, -5.408932, 0.0268742, 0.1849792, 65.20251, 3.10966, 2.406206, 127.0959
 
1.339999, -0.2125029, -0.08882101, 67.32019, 12.24447, 0.6776532918835620349024, 2572.354, -1393.423, -5.408932, 0.0268742, 0.1849792, 65.83055, 3.10966, 2.405275, 127.1431
 
1.349999, -0.2104235, -0.09094604, 67.88689, 12.25689, 0.6628541831698790296160, 2621.552, -1394.216, -5.408932, 0.0268742, 0.1849792, 66.45892, 3.10966, 2.404345, 127.1903
 
1.359999, -0.2081612, -0.09305028, 68.45311, 12.26801, 0.6480425710197489258730552175, 2671.239, -1395.009, -5.408932, 0.0268742, 0.1849792, 67.08762, 3.10966, 2.403414, 127.2375
 
1.369999, -0.2057108, -0.09513189, 69.02148, 12.28043, 0.6332171120887568408928, 2721.415, -1395.803, -5.408932, 0.0268742, 0.1849792, 67.71666, 3.10966, 2.402484, 127.2846
 
1.379999, -0.2030713, -0.09718899, 69.58937, 12.29156, 0.6183774963743482761077447825, 2772.08, -1396.599, -5.408932, 0.0268742, 0.1849792, 68.34603, 3.10966, 2.401553, 127.3318
 
1.389999, -0.2002387, -0.09921971, 70.15942, 12.304, 0.6035252738893081244576, 2823.236, -1397.395, -5.408932, 0.0268742, 0.1849792, 68.97574, 3.10966, 2.400623, 127.379
 
1.399999, -0.1972123, -0.1012221, 70.72899, 12.31514, 0.5886599279627067105066552175, 2874.883, -1398.193, -5.408932, 0.0268742, 0.1849792, 69.60578, 3.10966, 2.399692, 127.4262
 
1.409999, -0.1939871, -0.1031942, 71.30069, 12.32759, 0.5737815619287264559797447825, 2927.02, -1398.991, -5.408932, 0.0268742, 0.1849792, 70.23614, 3.10966, 2.398762, 127.4734
 
1.419999, -0.190564, -0.1051341, 71.87193, 12.33874, 0.5588926558078260829376, 2979.649, -1399.791, -5.408932, 0.0268742, 0.1849792, 70.86684, 3.10966, 2.397831, 127.5205
 
1.429999, -0.1869384, -0.1070397, 72.44531, 12.3512, 0.5439936229367435450144, 3032.77, -1400.592, -5.408932, 0.0268742, 0.1849792, 71.49786, 3.10966, 2.3969, 127.5677
 
1.439999, -0.1831103, -0.1089091, 73.01819, 12.36236, 0.5290855999915206148064, 3086.382, -1401.394, -5.408932, 0.0268742, 0.1849792, 72.1292, 3.10966, 2.39597, 127.6149
 
1.449999, -0.1790769, -0.1107402, 73.59325, 12.37484, 0.5141713769951674129162552175, 3140.489, -1402.196, -5.408932, 0.0268742, 0.1849792, 72.76088, 3.10966, 2.395039, 127.6621
 
1.459999, -0.1748374, -0.112531, 74.16847, 12.38666, 0.4992515739527939698208, 3195.09, -1403, -5.408932, 0.0268742, 0.1849792, 73.39289, 3.10966, 2.394109, 127.7092
 
1.469999, -0.1703915, -0.1142794, 74.74387, 12.39783, 0.4843298075608966468096, 3250.184, -1403.805, -5.408932, 0.0268742, 0.1849792, 74.02522, 3.10966, 2.393178, 127.7564
 
1.479999, -0.1657359, -0.1159833, 75.32142, 12.41033, 0.4694076278322582701386552175, 3305.771, -1404.611, -5.408932, 0.0268742, 0.1849792, 74.65786, 3.10966, 2.392247, 127.8036
 
1.489999, -0.1608727, -0.1176406, 75.89848, 12.42152, 0.4544888581317400445472, 3361.853, -1405.418, -5.408932, 0.0268742, 0.1849792, 75.29082, 3.10966, 2.391317, 127.8508
 
1.499999, -0.1557988, -0.1192494, 76.47768, 12.43402, 0.4395754618088710166602552175, 3418.432, -1406.226, -5.408932, 0.0268742, 0.1849792, 75.92412, 3.10966, 2.390387, 127.898
 
1.509999, -0.1505162, -0.1208074, 77.0564, 12.44522, 0.4246706422233982273728, 3475.505, -1407.035, -5.408932, 0.0268742, 0.1849792, 76.55772, 3.10966, 2.389456, 127.9451
 
1.519999, -0.1450233, -0.1223125, 77.63727, 12.45774, 0.4097792560820432656373447825, 3533.073, -1407.845, -5.408932, 0.0268742, 0.1849792, 77.19163, 3.10966, 2.388525, 127.9923
 
1.529999, -0.1393225, -0.1237628, 78.21764, 12.46894, 0.3949039900736327969898552175, 3591.139, -1408.656, -5.408932, 0.0268742, 0.1849792, 77.82587, 3.10966, 2.387595, 128.0395
 
1.539999, -0.1334119, -0.125156, 78.80017, 12.48147, 0.3800487708972094145525447825, 3649.702, -1409.468, -5.408932, 0.0268742, 0.1849792, 78.46043, 3.10966, 2.386664, 128.0867
 
1.549999, -0.1272943, -0.1264901, 79.38221, 12.49269, 0.3652165952441615158218552175, 3708.763, -1410.282, -5.408932, 0.0268742, 0.1849792, 79.0953, 3.10966, 2.385734, 128.1339
 
1.559999, -0.1209693, -0.127763, 79.9664, 12.50523, 0.3504136631656131724288, 3768.321, -1411.096, -5.408932, 0.0268742, 0.1849792, 79.73048, 3.10966, 2.384803, 128.181
 
1.569999, -0.1144408, -0.1289727, 80.55009, 12.51646, 0.3356436946922473007552, 3828.375, -1411.911, -5.408932, 0.0268742, 0.1849792, 80.36596, 3.10966, 2.383873, 128.2282
 
